14:01:01.926; 118; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'GR3', 'product_at': 'GR3'}, 'GR3': {'status': 'TO_DESTINATION'}}}
14:01:03.069; 119; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'GR3', 'product_at': 'GR3'}, 'GR3': {'status': 'RELEASE'}}}
14:01:03.556; 120; MiniFactory/Right/Factory/MachineStatus/Data; {'SL': ['RUNNING', 'Line4w']}
14:01:03.626; 121; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'SL', 'product_at': 'GR3'}, 'GR3': {'status': 'INIT'}}}
14:01:03.626; 122; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'SL', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'START'}}}
14:01:03.626; 123; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'SL', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'COLOR_SENSING'}}}
14:01:03.626; 124; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'TO_CB'}}}
14:01:04.906; 125; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'MPS', 'product_at': 'MPS'}, 'MPS': {'status': 'CB'}}}
14:01:05.892; 126; MiniFactory/Right/Factory/MachineStatus/Data; {'CB1': ['RUNNING', 'Line1']}
14:01:05.944; 127; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'CB1', 'product_at': 'MPS'}, 'MPS': {'status': 'CB'}}}
14:01:05.944; 128; MiniFactory/Right/Factory/MachineStatus/Data; {'GR2': ['RUNNING', 'Line1']}
14:01:05.945; 129; MiniFactory/Right/Factory/MachineStatus/Data; {'GR2_CB1_TO_CB3': ['BLOCKED', 'Line1']}
14:01:05.946; 130; MiniFactory/Right/Factory/MachineStatus/Data; {'GR2_CB1_TO_PM': ['BLOCKED', 'Line1']}
14:01:05.947; 131; MiniFactory/Right/Factory/MachineStatus/Data; {'GR2_PM_TO_CB3': ['BLOCKED', 'Line1']}
14:01:05.948; 132; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'CB1', 'product_at': 'CB1'}, 'MPS': {'status': 'CB'}, 'CB1': {'status': 'RUN'}, 'GR2': {'status': 'INIT'}}}
14:01:06.155; 133; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'CB1', 'product_at': 'CB1'}, 'MPS': {'status': 'CB'}, 'CB1': {'status': 'RUN'}, 'GR2': {'status': 'TO_DESTINATION'}}}
14:01:06.242; 134; MiniFactory/Right/Factory/LineStatus/Data; {'Line2s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_MOVING_POS'}}}
14:01:06.326; 135; MiniFactory/Right/Factory/LineStatus/Data; {'Line2s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'MOVING'}}}
14:01:06.520; 136; MiniFactory/Right/Factory/MachineStatus/Data; {'VG2': ['RUNNING', 'Line4w']}
14:01:06.574; 137; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'SL', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'SORTING'}, 'VG2': {'status': 'INIT'}}}
14:01:06.722; 138; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'SL', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'SORTING'}, 'VG2': {'status': 'TO_MOVING_POS'}}}
14:01:07.348; 139; MiniFactory/Right/Factory/LineStatus/Data; {'Line2s': {'self': {'state': 'GR1', 'product_at': 'GR1'}, 'GR1': {'status': 'TO_DESTINATION'}}}
14:01:07.462; 140; MiniFactory/Right/Factory/MachineStatus/Data; {'MPS': ['FREE', 'None']}
14:01:07.508; 141; MiniFactory/Right/Factory/LineStatus/Data; {'Line1': {'self': {'state': 'CB1', 'product_at': 'CB1'}, 'CB1': {'status': 'RUN'}, 'GR2': {'status': 'TO_DESTINATION'}}}
14:01:07.941; 142; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'SL', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'INTO_BAY'}, 'VG2': {'status': 'TO_MOVING_POS'}}}
14:01:08.962; 143; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'SL', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'INTO_BAY'}, 'VG2': {'status': 'TO_DESTINATION'}}}
14:01:09.652; 144; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'VG2', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'END'}, 'VG2': {'status': 'TO_DESTINATION'}}}
14:01:09.700; 145; MiniFactory/Right/Factory/LineStatus/Data; {'Line4w': {'self': {'state': 'VG2', 'product_at': 'SL'}, 'GR3': {'status': 'INIT'}, 'SL': {'status': 'END'}, 'VG2': {'status': 'GET_PRODUCT'}}}
